Actor,Connections,Appearances,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,PageRank
Rajesh Sharma,169,22,0.2380952380952381,0.0161921416638978,0.6276923076923077,0.13987709778721705
Tom Wilkinson,169,17,0.380952380952381,0.06422371247479063,0.8160000000000001,0.306163964620059
Elizabeth Banks,169,13,0.9523809523809524,0.12988649254528173,0.9577464788732395,0.7965666949425225
William H. Macy,168,20,0.33333333333333337,0.06457885415386333,0.8160000000000001,0.3950715542756447
Naomi Watts,168,16,0.761904761904762,0.0670572989953867,0.9026548672566373,0.5506433328242604
Kay Kay Menon,168,25,0.33333333333333337,0.001835747943511131,0.513853904282116,0.18332577532591954
Tiffany Haddish,166,17,0.2857142857142857,0.010767557697441405,0.7555555555555558,0.188782537552433
Michael Cera,166,16,0.761904761904762,0.055254875526468475,0.914798206278027,0.6004199298957977
Bobby Cannavale,166,12,0.5238095238095238,0.03808768503798996,0.8127490039840638,0.3830991191517704
Rob Corddry,165,13,0.5238095238095238,0.018044405008326887,0.7876447876447877,0.5526884648589598
Daisuke Ono,164,22,0.380952380952381,0.04964399446601633,0.6219512195121951,0.7255111429309244
Benedict Cumberbatch,163,16,0.1904761904761905,0.008513669628523096,0.7669172932330829,0.14876028447358644
Jeff Bennett,163,28,0.380952380952381,0.011279134742951027,0.769811320754717,0.6061792712809618
Kevin Michael Richardson,163,15,0.4761904761904762,0.042799275371936105,0.8225806451612904,0.4882106304715601
Ewan McGregor,162,24,0.380952380952381,0.03787287175485007,0.8031496062992126,0.3108946729433819
Ed Helms,162,12,0.6190476190476191,0.0353782753583231,0.8360655737704918,0.4889417060845507
